source_workbook,source_sheet,source_row,raw_story_id,story_id,cq_id,cq_text_nonempty,hidden_source_row,mapping_method,merged_source_range,full_generation_included,included_in_normalized_dataset,exclusion_reason,missing_gold_only,included_in_gold_evaluable_scope,mapping_rule,gold_mapping_method,mapping_status,gold_path,gold_sha256,gold_parse_success,exclusion_reasons
Dataset.xlsx,CQs,2,,,JAMSCQ1,true,true,unmapped,,false,false,missing_story_id,false,false,case-insensitive exact CQID-to-filename-stem,unmapped,missing,,,,missing_story_id
Dataset.xlsx,CQs,3,,,JAMSCQ2,true,true,unmapped,,false,false,missing_story_id,false,false,case-insensitive exact CQID-to-filename-stem,unmapped,missing,,,,missing_story_id
Dataset.xlsx,CQs,4,,,JAMSCQ3,true,true,unmapped,,false,false,missing_story_id,false,false,case-insensitive exact CQID-to-filename-stem,unmapped,missing,,,,missing_story_id
Dataset.xlsx,CQs,5,,,JAMSCQ4,true,true,unmapped,,false,false,missing_story_id,false,false,case-insensitive exact CQID-to-filename-stem,unmapped,missing,,,,missing_story_id
Dataset.xlsx,CQs,6,,,JAMSCQ5,true,true,unmapped,,false,false,missing_story_id,false,false,case-insensitive exact CQID-to-filename-stem,unmapped,missing,,,,missing_story_id
Dataset.xlsx,CQs,7,,,JAMSCQ6,true,true,unmapped,,false,false,missing_story_id,false,false,case-insensitive exact CQID-to-filename-stem,unmapped,missing,,,,missing_story_id
Dataset.xlsx,CQs,8,,,JAMSCQ7,true,true,unmapped,,false,false,missing_story_id,false,false,case-insensitive exact CQID-to-filename-stem,unmapped,missing,,,,missing_story_id
Dataset.xlsx,CQs,9,,,JAMSCQ8,true,true,unmapped,,false,false,missing_story_id,false,false,case-insensitive exact CQID-to-filename-stem,unmapped,missing,,,,missing_story_id
Dataset.xlsx,CQs,10,,,JAMSCQ9,true,true,unmapped,,false,false,missing_story_id,false,false,case-insensitive exact CQID-to-filename-stem,unmapped,missing,,,,missing_story_id
Dataset.xlsx,CQs,11,,,JAMSCQ10,true,true,unmapped,,false,false,missing_story_id,false,false,case-insensitive exact CQID-to-filename-stem,unmapped,missing,,,,missing_story_id
Dataset.xlsx,CQs,12,,,JAMSCQ11,true,true,unmapped,,false,false,missing_story_id,false,false,case-insensitive exact CQID-to-filename-stem,unmapped,missing,,,,missing_story_id
Dataset.xlsx,CQs,13,,,JAMSCQ12,true,true,unmapped,,false,false,missing_story_id,false,false,case-insensitive exact CQID-to-filename-stem,unmapped,missing,,,,missing_story_id
