task_id,dataset_id,method,prompt_variant,raw_parse_success,normalized_parse_success,final_parse_success,metric_status,metric_unavailable_reason,class_count,class_label_count,class_label_coverage,class_comment_definition_count,class_comment_definition_coverage,object_property_count,object_property_label_count,object_property_label_coverage,object_property_comment_definition_count,object_property_comment_definition_coverage,datatype_property_count,datatype_property_label_count,datatype_property_label_coverage,datatype_property_comment_definition_count,datatype_property_comment_definition_coverage,ontology_declaration_present,ontology_metadata_statement_count,ontology_metadata_presence,documentation_literal_count,documentation_total_characters,average_documentation_length,assessed_entity_count,nontrivial_comment_definition_entity_count,nontrivial_comment_definition_rate,triples_count,classes_count_structural,object_properties_count_structural,datatype_properties_count_structural
a1_003_ee01c7833386,project2_11_4fc82b26ae,ontogenia,P0,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1_001_fbe294e5e4ec,project2_12_6b51d431df,ontogenia,P0,False,True,True,available,,11,7,0.636363636,7,0.636363636,7,7,1.0,7,1.0,6,6,1.0,6,1.0,False,0,False,21,1549,73.761904762,24,20,0.833333333,148,11,7,6
a1_009_049354a640d8,project2_14_8527a891e2,ontogenia,P0,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1_007_5e49d3c70270,project2_15_e629fa6598,ontogenia,P0,False,True,True,available,,6,5,0.833333333,5,0.833333333,4,4,1.0,4,1.0,3,3,1.0,3,1.0,False,0,False,14,929,66.357142857,13,12,0.923076923,73,6,4,3
a1_010_2b1c52ca6df7,project2_16_b17ef6d19c,ontogenia,P0,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1_011_e85ed7a8cbaa,project2_1_6b86b273ff,ontogenia,P0,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1_008_e7a5e056315a,project2_2_d4735e3a26,ontogenia,P0,False,True,True,available,,8,6,0.75,6,0.75,5,5,1.0,5,1.0,3,3,1.0,0,0.0,False,0,False,11,730,66.363636364,16,11,0.6875,97,8,5,3
a1_005_0bb9b178d7cb,project2_3_4e07408562,ontogenia,P0,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1_006_af5ee9be5429,project2_4_4b227777d4,ontogenia,P0,False,True,True,available,,6,4,0.666666667,4,0.666666667,2,2,1.0,2,1.0,0,0,,0,,False,0,False,6,418,69.666666667,8,6,0.75,61,6,2,0
a1_002_177d66aea3a8,project2_5_ef2d127de3,ontogenia,P0,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1_004_0849464610c4,project2_6_e7f6c01177,ontogenia,P0,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1_015_fda788d0bb40,project2_FestS_76555d3566,ontogenia,P0,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1_017_3b7fc38216e9,project2_HospitalS_37f96aff7d,ontogenia,P0,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1_013_7e209651db1a,project2_MusicS_6f198445eb,ontogenia,P0,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1_016_549c9a38b014,project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18,ontogenia,P0,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1_012_b4c211c6d65e,project2_Sage_1_WHOW_1b070153f1,ontogenia,P0,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1_014_7c4622e7f5d2,project2_Sophia_3_Reorchestration_71392573d4,ontogenia,P0,False,False,False,metric_unavailable_unparseable_final_ontology,final_parse_success=false; unknown entity denominator is not imputed as zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2_003_7e1f9991ad9a,project2_11_4fc82b26ae,ontogenia,P1,False,True,True,available,,6,0,0.0,1,0.166666667,8,0,0.0,8,1.0,3,0,0.0,3,1.0,False,0,False,12,639,53.25,17,12,0.705882353,57,6,8,3
