method,prompt_variant,tasks_total,metric_available_tasks,metric_unavailable_tasks,metric_availability_rate,class_entities,class_labels,class_label_coverage,class_comments_definitions,class_comment_definition_coverage,object_property_entities,object_property_labels,object_property_label_coverage,object_property_comments_definitions,object_property_comment_definition_coverage,datatype_property_entities,datatype_property_labels,datatype_property_label_coverage,datatype_property_comments_definitions,datatype_property_comment_definition_coverage,ontology_metadata_present_tasks,ontology_metadata_rate_available_tasks,ontology_metadata_observed_lower_bound_all_tasks,documentation_literal_count,documentation_total_characters,average_documentation_length,assessed_entities,nontrivial_documented_entities,nontrivial_comment_definition_rate,mean_triples_parseable_tasks,mean_classes_parseable_tasks,denominator_policy
ontogenia,P0,17,4,13,0.235294118,31,22,0.709677419,22,0.709677419,18,18,1.0,18,1.0,12,12,1.0,9,0.75,0,0.0,0.0,52,3626,69.730769231,61,49,0.803278689,94.75,7.75,entity coverage uses known entities in parseable final ontologies; every unparseable task remains an explicit metric-unavailable task in the task denominator
ontogenia,P1,17,5,12,0.294117647,60,39,0.65,42,0.7,56,42,0.75,56,1.0,27,22,0.814814815,27,1.0,0,0.0,0.0,150,9207,61.38,143,125,0.874125874,166.8,12.0,entity coverage uses known entities in parseable final ontologies; every unparseable task remains an explicit metric-unavailable task in the task denominator
ontogenia,P2,17,5,12,0.294117647,47,31,0.659574468,31,0.659574468,35,35,1.0,35,1.0,14,14,1.0,14,1.0,0,0.0,0.0,80,5515,68.9375,96,80,0.833333333,126.4,9.4,entity coverage uses known entities in parseable final ontologies; every unparseable task remains an explicit metric-unavailable task in the task denominator
ontogenia,ALL,51,14,37,0.274509804,138,92,0.666666667,95,0.688405797,109,95,0.871559633,109,1.0,53,48,0.905660377,50,0.943396226,0,0.0,0.0,282,18348,65.063829787,300,254,0.846666667,131.785714286,9.857142857,entity coverage uses known entities in parseable final ontologies; every unparseable task remains an explicit metric-unavailable task in the task denominator
domain-ontogen,P0,17,16,1,0.941176471,162,161,0.99382716,3,0.018518519,196,196,1.0,3,0.015306122,79,79,1.0,1,0.012658228,0,0.0,0.0,7,442,63.142857143,437,7,0.016018307,227.125,10.125,entity coverage uses known entities in parseable final ontologies; every unparseable task remains an explicit metric-unavailable task in the task denominator
domain-ontogen,P1,17,17,0,1.0,187,183,0.978609626,0,0.0,200,200,1.0,0,0.0,85,85,1.0,0,0.0,0,0.0,0.0,0,0,,472,0,0.0,201.823529412,11.0,entity coverage uses known entities in parseable final ontologies; every unparseable task remains an explicit metric-unavailable task in the task denominator
domain-ontogen,P2,17,17,0,1.0,206,204,0.990291262,0,0.0,227,227,1.0,0,0.0,118,118,1.0,0,0.0,0,0.0,0.0,0,0,,551,0,0.0,237.588235294,12.117647059,entity coverage uses known entities in parseable final ontologies; every unparseable task remains an explicit metric-unavailable task in the task denominator
domain-ontogen,ALL,51,50,1,0.980392157,555,548,0.987387387,3,0.005405405,623,623,1.0,3,0.004815409,282,282,1.0,1,0.003546099,0,0.0,0.0,7,442,63.142857143,1460,7,0.004794521,222.08,11.1,entity coverage uses known entities in parseable final ontologies; every unparseable task remains an explicit metric-unavailable task in the task denominator
neon-gpt,P0,17,11,6,0.647058824,193,117,0.606217617,137,0.70984456,151,111,0.735099338,151,1.0,207,165,0.797101449,207,1.0,1,0.090909091,0.058823529,522,34937,66.929118774,551,495,0.898366606,320.090909091,17.545454545,entity coverage uses known entities in parseable final ontologies; every unparseable task remains an explicit metric-unavailable task in the task denominator
neon-gpt,P1,17,12,5,0.705882353,216,145,0.671296296,174,0.805555556,134,92,0.686567164,124,0.925373134,279,269,0.964157706,279,1.0,0,0.0,0.0,619,41400,66.882067851,629,577,0.917329094,280.583333333,18.0,entity coverage uses known entities in parseable final ontologies; every unparseable task remains an explicit metric-unavailable task in the task denominator
neon-gpt,P2,17,14,3,0.823529412,262,152,0.580152672,190,0.72519084,262,173,0.660305344,241,0.919847328,418,87,0.208133971,215,0.514354067,0,0.0,0.0,655,39780,60.732824427,942,645,0.684713376,309.714285714,18.714285714,entity coverage uses known entities in parseable final ontologies; every unparseable task remains an explicit metric-unavailable task in the task denominator
neon-gpt,ALL,51,37,14,0.725490196,671,414,0.616989568,501,0.746646796,547,376,0.68738574,516,0.943327239,904,521,0.576327434,701,0.775442478,1,0.027027027,0.019607843,1796,116117,64.65311804,2122,1717,0.809142319,303.351351351,18.135135135,entity coverage uses known entities in parseable final ontologies; every unparseable task remains an explicit metric-unavailable task in the task denominator
TOTAL,ALL,153,101,52,0.660130719,1364,1054,0.772727273,599,0.43914956,1279,1094,0.855355747,628,0.4910086,1239,851,0.686844229,752,0.606941082,1,0.00990099,0.006535948,2085,134907,64.703597122,3882,1978,0.50953117,239.336633663,13.504950495,entity coverage uses known entities in parseable final ontologies; every unparseable task remains an explicit metric-unavailable task in the task denominator
