endpoint,method,comparison,paired_n,effect_name,effect_value,secondary_effect_value,status
final_parse_success,ontogenia,P0_vs_P1,17,paired_risk_difference_and_matched_odds_ratio,0.058823529411764705,1.25,estimated
final_parse_success,ontogenia,P0_vs_P2,17,paired_risk_difference_and_matched_odds_ratio,0.058823529411764705,1.3333333333333333,estimated
final_parse_success,ontogenia,P1_vs_P2,17,paired_risk_difference_and_matched_odds_ratio,0.0,1.0,estimated
final_parse_success,domain-ontogen,P0_vs_P1,17,paired_risk_difference_and_matched_odds_ratio,0.058823529411764705,infinite,estimated
final_parse_success,domain-ontogen,P0_vs_P2,17,paired_risk_difference_and_matched_odds_ratio,0.058823529411764705,infinite,estimated
final_parse_success,domain-ontogen,P1_vs_P2,17,paired_risk_difference_and_matched_odds_ratio,0.0,undefined_0_over_0,estimated
final_parse_success,neon-gpt,P0_vs_P1,17,paired_risk_difference_and_matched_odds_ratio,0.058823529411764705,1.3333333333333333,estimated
final_parse_success,neon-gpt,P0_vs_P2,17,paired_risk_difference_and_matched_odds_ratio,0.17647058823529413,2.0,estimated
final_parse_success,neon-gpt,P1_vs_P2,17,paired_risk_difference_and_matched_odds_ratio,0.11764705882352941,2.0,estimated
P0_centred_ontology_term_jaccard,ontogenia,J_P0_P1_vs_J_P0_P2,0,matched_rank_biserial,,,not_estimable_no_parseable_complete_pairs
P0_centred_ontology_term_jaccard,domain-ontogen,J_P0_P1_vs_J_P0_P2,16,matched_rank_biserial,0.2781954887218045,,estimated
P0_centred_ontology_term_jaccard,neon-gpt,J_P0_P1_vs_J_P0_P2,6,matched_rank_biserial,-0.6666666666666666,,estimated
