method,dataset_id,prompt_variant,result_available,final_parse_success,output_directory
ontogenia,project2_12_6b51d431df,P0,true,1,outputs/stage_a1/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_12_6b51d431df/P0/seed_42
ontogenia,project2_12_6b51d431df,P1,true,0,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_12_6b51d431df/P1/seed_42
ontogenia,project2_12_6b51d431df,P2,true,0,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_12_6b51d431df/P2/seed_42
ontogenia,project2_5_ef2d127de3,P0,true,0,outputs/stage_a1/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_5_ef2d127de3/P0/seed_42
ontogenia,project2_5_ef2d127de3,P1,true,1,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_5_ef2d127de3/P1/seed_42
ontogenia,project2_5_ef2d127de3,P2,true,0,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_5_ef2d127de3/P2/seed_42
ontogenia,project2_11_4fc82b26ae,P0,true,0,outputs/stage_a1/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_11_4fc82b26ae/P0/seed_42
ontogenia,project2_11_4fc82b26ae,P1,true,1,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_11_4fc82b26ae/P1/seed_42
ontogenia,project2_11_4fc82b26ae,P2,true,1,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_11_4fc82b26ae/P2/seed_42
ontogenia,project2_6_e7f6c01177,P0,true,0,outputs/stage_a1/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_6_e7f6c01177/P0/seed_42
ontogenia,project2_6_e7f6c01177,P1,true,1,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_6_e7f6c01177/P1/seed_42
ontogenia,project2_6_e7f6c01177,P2,true,1,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_6_e7f6c01177/P2/seed_42
ontogenia,project2_3_4e07408562,P0,true,0,outputs/stage_a1/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_3_4e07408562/P0/seed_42
ontogenia,project2_3_4e07408562,P1,true,0,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_3_4e07408562/P1/seed_42
ontogenia,project2_3_4e07408562,P2,true,0,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_3_4e07408562/P2/seed_42
ontogenia,project2_4_4b227777d4,P0,true,1,outputs/stage_a1/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_4_4b227777d4/P0/seed_42
ontogenia,project2_4_4b227777d4,P1,true,0,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_4_4b227777d4/P1/seed_42
ontogenia,project2_4_4b227777d4,P2,true,0,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_4_4b227777d4/P2/seed_42
ontogenia,project2_15_e629fa6598,P0,true,1,outputs/stage_a1/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_15_e629fa6598/P0/seed_42
ontogenia,project2_15_e629fa6598,P1,true,0,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_15_e629fa6598/P1/seed_42
ontogenia,project2_15_e629fa6598,P2,true,1,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_15_e629fa6598/P2/seed_42
ontogenia,project2_2_d4735e3a26,P0,true,1,outputs/stage_a1/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_2_d4735e3a26/P0/seed_42
ontogenia,project2_2_d4735e3a26,P1,true,0,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_2_d4735e3a26/P1/seed_42
ontogenia,project2_2_d4735e3a26,P2,true,0,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_2_d4735e3a26/P2/seed_42
ontogenia,project2_14_8527a891e2,P0,true,0,outputs/stage_a1/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_14_8527a891e2/P0/seed_42
ontogenia,project2_14_8527a891e2,P1,true,0,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_14_8527a891e2/P1/seed_42
ontogenia,project2_14_8527a891e2,P2,true,1,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_14_8527a891e2/P2/seed_42
ontogenia,project2_16_b17ef6d19c,P0,true,0,outputs/stage_a1/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_16_b17ef6d19c/P0/seed_42
ontogenia,project2_16_b17ef6d19c,P1,true,0,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_16_b17ef6d19c/P1/seed_42
ontogenia,project2_16_b17ef6d19c,P2,true,0,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_16_b17ef6d19c/P2/seed_42
ontogenia,project2_1_6b86b273ff,P0,true,0,outputs/stage_a1/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_1_6b86b273ff/P0/seed_42
ontogenia,project2_1_6b86b273ff,P1,true,1,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_1_6b86b273ff/P1/seed_42
ontogenia,project2_1_6b86b273ff,P2,true,1,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_1_6b86b273ff/P2/seed_42
ontogenia,project2_Sage_1_WHOW_1b070153f1,P0,true,0,outputs/stage_a1/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Sage_1_WHOW_1b070153f1/P0/seed_42
ontogenia,project2_Sage_1_WHOW_1b070153f1,P1,true,0,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Sage_1_WHOW_1b070153f1/P1/seed_42
ontogenia,project2_Sage_1_WHOW_1b070153f1,P2,true,0,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Sage_1_WHOW_1b070153f1/P2/seed_42
ontogenia,project2_MusicS_6f198445eb,P0,true,0,outputs/stage_a1/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_MusicS_6f198445eb/P0/seed_42
ontogenia,project2_MusicS_6f198445eb,P1,true,0,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_MusicS_6f198445eb/P1/seed_42
ontogenia,project2_MusicS_6f198445eb,P2,true,0,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_MusicS_6f198445eb/P2/seed_42
ontogenia,project2_Sophia_3_Reorchestration_71392573d4,P0,true,0,outputs/stage_a1/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Sophia_3_Reorchestration_71392573d4/P0/seed_42
ontogenia,project2_Sophia_3_Reorchestration_71392573d4,P1,true,0,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Sophia_3_Reorchestration_71392573d4/P1/seed_42
ontogenia,project2_Sophia_3_Reorchestration_71392573d4,P2,true,0,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Sophia_3_Reorchestration_71392573d4/P2/seed_42
ontogenia,project2_FestS_76555d3566,P0,true,0,outputs/stage_a1/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_FestS_76555d3566/P0/seed_42
ontogenia,project2_FestS_76555d3566,P1,true,0,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_FestS_76555d3566/P1/seed_42
ontogenia,project2_FestS_76555d3566,P2,true,0,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_FestS_76555d3566/P2/seed_42
ontogenia,project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18,P0,true,0,outputs/stage_a1/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18/P0/seed_42
ontogenia,project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18,P1,true,1,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18/P1/seed_42
ontogenia,project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18,P2,true,0,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18/P2/seed_42
ontogenia,project2_HospitalS_37f96aff7d,P0,true,0,outputs/stage_a1/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_HospitalS_37f96aff7d/P0/seed_42
ontogenia,project2_HospitalS_37f96aff7d,P1,true,0,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_HospitalS_37f96aff7d/P1/seed_42
ontogenia,project2_HospitalS_37f96aff7d,P2,true,0,outputs/stage_a2/project2/ontogenia/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_HospitalS_37f96aff7d/P2/seed_42
domain-ontogen,project2_12_6b51d431df,P0,true,1,outputs/stage_a1/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_12_6b51d431df/P0/seed_42
domain-ontogen,project2_12_6b51d431df,P1,true,1,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_12_6b51d431df/P1/seed_42
domain-ontogen,project2_12_6b51d431df,P2,true,1,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_12_6b51d431df/P2/seed_42
domain-ontogen,project2_5_ef2d127de3,P0,true,1,outputs/stage_a1/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_5_ef2d127de3/P0/seed_42
domain-ontogen,project2_5_ef2d127de3,P1,true,1,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_5_ef2d127de3/P1/seed_42
domain-ontogen,project2_5_ef2d127de3,P2,true,1,outputs/stage_a2/project2/domain-ontogen/qwen3_30b-a3b-instruct-2507-q4_K_M/project2_5_ef2d127de3/P2/seed_42
