method,dataset_id,P0_term_count,P1_term_count,P2_term_count,J_P0_P1,J_P0_P2,paired_difference_P0P2_minus_P0P1,P0_extraction_error,P1_exclusion_or_error,P2_exclusion_or_error,included_in_wilcoxon
ontogenia,project2_11_4fc82b26ae,,17,19,,,,identity_excluded_or_unparseable,,,False
ontogenia,project2_12_6b51d431df,20,,,,,,,identity_excluded_or_unparseable,identity_excluded_or_unparseable,False
ontogenia,project2_14_8527a891e2,,,10,,,,identity_excluded_or_unparseable,identity_excluded_or_unparseable,,False
ontogenia,project2_15_e629fa6598,12,,26,,0.26666666666666666,,,identity_excluded_or_unparseable,,False
ontogenia,project2_16_b17ef6d19c,,,,,,,identity_excluded_or_unparseable,identity_excluded_or_unparseable,identity_excluded_or_unparseable,False
ontogenia,project2_1_6b86b273ff,,11,16,,,,identity_excluded_or_unparseable,,,False
ontogenia,project2_2_d4735e3a26,16,,,,,,,identity_excluded_or_unparseable,identity_excluded_or_unparseable,False
ontogenia,project2_3_4e07408562,,,,,,,identity_excluded_or_unparseable,identity_excluded_or_unparseable,identity_excluded_or_unparseable,False
ontogenia,project2_4_4b227777d4,6,,,,,,,identity_excluded_or_unparseable,identity_excluded_or_unparseable,False
ontogenia,project2_5_ef2d127de3,,18,,,,,identity_excluded_or_unparseable,,identity_excluded_or_unparseable,False
ontogenia,project2_6_e7f6c01177,,14,12,,,,identity_excluded_or_unparseable,,,False
ontogenia,project2_FestS_76555d3566,,,,,,,identity_excluded_or_unparseable,identity_excluded_or_unparseable,identity_excluded_or_unparseable,False
ontogenia,project2_HospitalS_37f96aff7d,,,,,,,identity_excluded_or_unparseable,identity_excluded_or_unparseable,identity_excluded_or_unparseable,False
ontogenia,project2_MusicS_6f198445eb,,,,,,,identity_excluded_or_unparseable,identity_excluded_or_unparseable,identity_excluded_or_unparseable,False
ontogenia,project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18,,69,,,,,identity_excluded_or_unparseable,,identity_excluded_or_unparseable,False
ontogenia,project2_Sage_1_WHOW_1b070153f1,,,,,,,identity_excluded_or_unparseable,identity_excluded_or_unparseable,identity_excluded_or_unparseable,False
ontogenia,project2_Sophia_3_Reorchestration_71392573d4,,,,,,,identity_excluded_or_unparseable,identity_excluded_or_unparseable,identity_excluded_or_unparseable,False
domain-ontogen,project2_11_4fc82b26ae,10,10,10,1.0,0.8181818181818182,-0.18181818181818177,,,,True
domain-ontogen,project2_12_6b51d431df,11,9,13,0.42857142857142855,0.8461538461538461,0.4175824175824176,,,,True
domain-ontogen,project2_14_8527a891e2,7,12,12,0.5833333333333334,0.5833333333333334,0.0,,,,True
domain-ontogen,project2_15_e629fa6598,17,11,15,0.6470588235294118,0.5238095238095238,-0.12324929971988796,,,,True
domain-ontogen,project2_16_b17ef6d19c,18,19,16,0.5416666666666666,0.7,0.15833333333333333,,,,True
domain-ontogen,project2_1_6b86b273ff,11,12,11,0.9166666666666666,1.0,0.08333333333333337,,,,True
domain-ontogen,project2_2_d4735e3a26,13,13,13,0.7333333333333333,1.0,0.2666666666666667,,,,True
domain-ontogen,project2_3_4e07408562,15,13,13,0.3333333333333333,0.3333333333333333,0.0,,,,True
domain-ontogen,project2_4_4b227777d4,15,15,14,0.6666666666666666,0.7058823529411765,0.03921568627450989,,,,True
domain-ontogen,project2_5_ef2d127de3,7,8,7,0.875,1.0,0.125,,,,True
domain-ontogen,project2_6_e7f6c01177,8,9,8,0.3076923076923077,0.6,0.29230769230769227,,,,True
domain-ontogen,project2_FestS_76555d3566,107,98,110,0.553030303030303,0.5069444444444444,-0.04608585858585856,,,,True
domain-ontogen,project2_HospitalS_37f96aff7d,,83,103,,,,identity_excluded_or_unparseable,,,False
domain-ontogen,project2_MusicS_6f198445eb,97,67,102,0.5327102803738317,0.45255474452554745,-0.08015553584828428,,,,True
domain-ontogen,project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18,51,39,35,0.5,0.4576271186440678,-0.0423728813559322,,,,True
domain-ontogen,project2_Sage_1_WHOW_1b070153f1,11,13,14,0.7142857142857143,0.7857142857142857,0.0714285714285714,,,,True
domain-ontogen,project2_Sophia_3_Reorchestration_71392573d4,37,34,52,0.4791666666666667,0.390625,-0.08854166666666669,,,,True
neon-gpt,project2_11_4fc82b26ae,36,,,,,,,identity_excluded_or_unparseable,identity_excluded_or_unparseable,False
neon-gpt,project2_12_6b51d431df,85,,36,,0.17475728155339806,,,identity_excluded_or_unparseable,,False
neon-gpt,project2_14_8527a891e2,64,27,19,0.0,0.0,0.0,,,,True
neon-gpt,project2_15_e629fa6598,,49,76,,,,identity_excluded_or_unparseable,,,False
neon-gpt,project2_16_b17ef6d19c,62,25,119,0.0,0.0,0.0,,,,True
neon-gpt,project2_1_6b86b273ff,,26,30,,,,identity_excluded_or_unparseable,,,False
neon-gpt,project2_2_d4735e3a26,29,103,,0.1282051282051282,,,,,identity_excluded_or_unparseable,False
neon-gpt,project2_3_4e07408562,33,31,,0.0,,,,,identity_excluded_or_unparseable,False
neon-gpt,project2_4_4b227777d4,17,28,27,0.2857142857142857,0.2222222222222222,-0.06349206349206349,,,,True
neon-gpt,project2_5_ef2d127de3,7,7,7,0.4,0.0,-0.4,,,,True
neon-gpt,project2_6_e7f6c01177,,8,12,,,,identity_excluded_or_unparseable,,,False
neon-gpt,project2_FestS_76555d3566,33,,72,,0.0,,,identity_excluded_or_unparseable,,False
neon-gpt,project2_HospitalS_37f96aff7d,,,61,,,,identity_excluded_or_unparseable,identity_excluded_or_unparseable,,False
neon-gpt,project2_MusicS_6f198445eb,,129,240,,,,identity_excluded_or_unparseable,,,False
neon-gpt,project2_Paul_2_ResourceReliability_Ortenz_1_MusicAndChildhood_c781c82a18,83,52,46,0.18421052631578946,0.0,-0.18421052631578946,,,,True
neon-gpt,project2_Sage_1_WHOW_1b070153f1,62,119,38,0.10365853658536585,0.13636363636363635,0.032705099778270505,,,,True
neon-gpt,project2_Sophia_3_Reorchestration_71392573d4,,,89,,,,identity_excluded_or_unparseable,identity_excluded_or_unparseable,,False
