method,prompt_variant,tasks,repair_used_tasks,repair_calls,repair_call_rate,length_terminated_tasks,length_terminations,length_termination_call_rate,internal_calls,limitation
ontogenia,P0,17,0,0,0.0,0,0,0.0,74,Length termination records the model stop reason; repair calls are counted separately.
ontogenia,P1,17,0,0,0.0,2,4,0.054054054,74,Length termination records the model stop reason; repair calls are counted separately.
ontogenia,P2,17,0,0,0.0,3,4,0.054054054,74,Length termination records the model stop reason; repair calls are counted separately.
domain-ontogen,P0,17,0,0,0.0,1,1,0.013513514,74,Length termination records the model stop reason; repair calls are counted separately.
domain-ontogen,P1,17,0,0,0.0,0,0,0.0,74,Length termination records the model stop reason; repair calls are counted separately.
domain-ontogen,P2,17,0,0,0.0,0,0,0.0,74,Length termination records the model stop reason; repair calls are counted separately.
neon-gpt,P0,17,15,28,0.622222222,10,11,0.244444444,45,Length termination records the model stop reason; repair calls are counted separately.
neon-gpt,P1,17,14,27,0.613636364,9,9,0.204545455,44,Length termination records the model stop reason; repair calls are counted separately.
neon-gpt,P2,17,13,26,0.604651163,12,12,0.279069767,43,Length termination records the model stop reason; repair calls are counted separately.
TOTAL,ALL,153,42,81,0.140625,37,41,0.071180556,576,Length termination records the model stop reason; repair calls are counted separately.
